(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;(rect5) ;(rect6) ;(rect7) ;(rect8) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;rate; dist; rdcost ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
7.534763;7.533694;5.996452;5.996452;6.194406;6.182085;6.098074;6.086775;6.287858;6.276643;6.792345;6.787845;6.889591;6.889591;6.740520;6.739336;6.934397;6.921658;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;2.000000;12.205913;8.525360;14.379145;1;0;40;6;1
7.589336;7.584265;6.538140;6.538140;5.117994;5.111988;6.220590;6.202536;5.978886;5.976351;6.768493;6.766191;7.010312;7.002156;7.249215;7.232010;6.352629;6.347389;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;1.000000;12.169041;8.435766;14.323230;1;0;44;6;1
8.241703;8.203578;6.107023;6.107023;6.573680;6.566672;7.413367;7.285507;6.495265;6.463029;7.074117;7.070724;7.848153;7.782807;7.806289;7.745003;7.201171;7.184629;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;12.376743;8.499640;14.482213;1;4;40;6;1
7.079185;7.069024;5.652489;5.634789;5.513429;5.488938;5.111988;5.105946;5.780744;5.780744;6.458338;6.455199;6.192362;6.190315;6.309918;6.306275;6.418365;6.396930;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;12.096642;8.642062;14.358893;1;4;44;6;1
11.443618;11.208531;10.242029;8.742734;10.311250;10.246262;8.001690;7.930206;9.380842;9.080118;11.264656;10.912339;9.585621;9.434604;10.303705;9.793003;11.026613;10.896480;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;13.339045;8.525360;15.226027;1;8;32;6;1
12.062035;11.935438;10.451146;10.434880;10.587821;10.564473;9.408699;9.347665;10.042206;9.638350;11.206944;11.197036;10.577834;10.577223;11.151999;11.118014;11.242363;11.152946;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;1.000000;13.379123;8.567125;15.266372;1;8;36;6;1
7.638198;7.616776;5.924256;5.902633;6.304449;6.302619;6.274762;6.248043;6.018593;5.942800;7.017506;7.013916;6.867974;6.812345;6.806829;6.783325;6.986567;6.970730;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;12.422317;8.586905;14.541441;1;12;32;6;1
8.278682;8.277412;7.049255;7.048387;6.826545;6.826545;6.413459;6.410175;7.021976;7.009409;7.636752;7.636270;7.451241;7.451241;7.513709;7.512071;7.621685;7.618742;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;12.334202;8.607582;14.490771;1;12;36;6;1
8.650149;8.597482;8.109826;7.948739;6.137727;6.133398;7.396335;7.341484;6.084499;6.073044;8.200837;8.128290;7.634337;7.601402;8.478661;8.377011;6.803505;6.795706;0.940983;1.000000;2.000000;2.000000;1.000000;1.000000;1.000000;12.332912;8.647695;14.504443;1;8;40;6;1
6.797940;6.790097;4.890349;4.882802;5.010635;5.003946;5.484797;5.480639;5.823046;5.808143;5.641907;5.634789;6.423247;6.415097;6.016157;6.011267;6.188264;6.175867;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;11.867378;8.801018;14.311740;1;8;44;6;1
