x+=1,parameter,cqs,block,time,count
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_32X8,17.6568,5155
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_16X64,0.366083,51
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,43,BLOCK_64X16,0.144219,26
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_4X4,28.2103,932698
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_4X8,6.70736,30202
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_8X4,6.32427,30959
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_8X8,116.881,477536
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_8X16,83.6674,35296
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_16X8,71.1762,32175
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_16X16,302.732,177182
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_16X32,63.0624,19828
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_32X16,41.0711,15861
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_32X32,310.17,46798
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_32X64,7.45415,1098
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_64X32,9.20537,1518
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_64X64,101.289,12480
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_64X128,5.37842,245
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_128X64,1.83286,74
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_128X128,50.9643,3360
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_4X16,10.0731,14072
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_16X4,5.94393,8275
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_8X32,37.1729,11219
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_32X8,18.9514,6068
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_16X64,0.50792,65
BQMall_832x480_60,set_disable_prune_partitions_after_none,43,BLOCK_64X16,0.181036,33
BQMall_832x480_60,set_disable_prune_partitions_after_split,43,BLOCK_4X4,20.3036,514992
BQMall_832x480_60,set_disable_prune_partitions_after_split,43,BLOCK_4X8,10.9259,59720
BQMall_832x480_60,set_disable_prune_partitions_after_split,43,BLOCK_8X4,9.96303,59506
